M,K,impl,time_sec
256,3,conv_cpu,0.000169
256,3,conv_cuda,0.001200
256,5,conv_cpu,0.000411
256,5,conv_cuda,0.000722
256,7,conv_cpu,0.000706
256,7,conv_cuda,0.001202
512,3,conv_cpu,0.000750
512,3,conv_cuda,0.000785
512,5,conv_cpu,0.001664
512,5,conv_cuda,0.000860
512,7,conv_cpu,0.002985
512,7,conv_cuda,0.000839
1024,3,conv_cpu,0.002972
1024,3,conv_cuda,0.000776
1024,5,conv_cpu,0.006853
1024,5,conv_cuda,0.001055
1024,7,conv_cpu,0.012344
1024,7,conv_cuda,0.000809
2048,3,conv_cpu,0.011598
2048,3,conv_cuda,0.001090
2048,5,conv_cpu,0.028687
2048,5,conv_cuda,0.001180
2048,7,conv_cpu,0.049036
2048,7,conv_cuda,0.001384
